Date ,Longitude,Latitude,LSOA code,Crime type
15/08/2019,-1.718119,54.901943,E01020635,Vehicle crime
05/08/2019,-1.749892,54.883097,E01020654,Burglary
19/08/2019,-1.734716,54.894091,E01020654,Vehicle crime
14/08/2019,-1.725303,54.886548,E01020676,Burglary
01/08/2019,-1.725303,54.886548,E01020676,Burglary
14/08/2019,-1.711177,54.882687,E01020676,Vehicle crime
26/08/2019,-1.681487,54.900038,E01020676,Vehicle crime
29/08/2019,-1.596706,54.882757,E01020613,Vehicle crime
23/08/2019,-1.594661,54.881528,E01020613,Vehicle crime
03/08/2019,-1.614251,54.88498,E01020622,Vehicle crime
24/08/2019,-1.61284,54.884193,E01020622,Vehicle crime
23/08/2019,-1.610963,54.883307,E01020623,Vehicle crime
23/08/2019,-1.610963,54.883307,E01020623,Vehicle crime
19/08/2019,-1.608587,54.882337,E01020623,Vehicle crime
14/08/2019,-1.611105,54.88638,E01020623,Vehicle crime
12/08/2019,-1.854957,54.867694,E01020628,Shoplifting
02/08/2019,-1.858891,54.869891,E01020628,Vehicle crime
18/08/2019,-1.852993,54.867808,E01020629,Vehicle crime
05/08/2019,-1.854268,54.864215,E01020629,Vehicle crime
30/08/2019,-1.854268,54.864215,E01020629,Vehicle crime
06/08/2019,-1.830327,54.900291,E01020655,Burglary
12/08/2019,-1.834313,54.886395,E01020656,Burglary
21/08/2019,-1.698526,54.871433,E01020661,Burglary
27/08/2019,-1.696898,54.870341,E01020661,Shoplifting
21/08/2019,-1.701041,54.868491,E01020661,Shoplifting
04/08/2019,-1.701041,54.868491,E01020661,Shoplifting
29/08/2019,-1.701041,54.868491,E01020661,Shoplifting
08/08/2019,-1.701041,54.868491,E01020661,Shoplifting
10/08/2019,-1.701041,54.868491,E01020661,Shoplifting
16/08/2019,-1.702807,54.867795,E01020661,Shoplifting
29/08/2019,-1.701041,54.868491,E01020661,Shoplifting
10/08/2019,-1.701041,54.868491,E01020661,Shoplifting
17/08/2019,-1.698985,54.870463,E01020661,Shoplifting
18/08/2019,-1.698966,54.868864,E01020661,Shoplifting
28/08/2019,-1.701041,54.868491,E01020661,Shoplifting
01/08/2019,-1.701041,54.868491,E01020661,Shoplifting
